timestamp,PM2.5,humidity,temperature
2021-07-14 22:00:00,5.72,81.0,35.17999999999999
2021-07-14 23:00:00,5.72,81.0,35.17999999999999
2021-07-15 00:00:00,5.72,81.0,35.17999999999999
2021-07-15 01:00:00,5.72,81.0,35.17999999999999
2021-07-15 02:00:00,5.72,81.0,35.17999999999999
2021-07-15 03:00:00,5.72,81.0,35.17999999999999
2021-07-15 04:00:00,5.72,81.0,35.17999999999999
2021-07-15 05:00:00,5.72,81.0,35.17999999999999
2021-07-15 06:00:00,5.72,81.0,35.17999999999999
2021-07-15 07:00:00,5.72,81.0,35.17999999999999
2021-07-15 08:00:00,5.72,81.0,35.17999999999999
2021-07-15 09:00:00,5.72,81.0,35.17999999999999
2021-07-15 10:00:00,5.72,81.0,35.17999999999999
2021-07-15 11:00:00,5.72,81.0,35.17999999999999
2021-07-15 12:00:00,5.72,81.0,35.17999999999999
2021-07-15 13:00:00,5.72,81.0,35.17999999999999
2021-07-15 14:00:00,5.72,81.0,35.17999999999999
2021-07-15 15:00:00,5.72,81.0,35.17999999999999
2021-07-15 16:00:00,5.72,81.0,35.17999999999999
2021-07-15 17:00:00,5.72,81.0,35.17999999999999
2021-07-15 18:00:00,5.72,81.0,35.17999999999999
2021-07-15 19:00:00,5.72,81.0,35.17999999999999
2021-07-15 20:00:00,5.72,81.0,35.17999999999999
2021-07-15 21:00:00,5.72,81.0,35.17999999999999
2021-07-15 22:00:00,5.72,81.0,35.17999999999999
2021-07-15 23:00:00,5.72,81.0,35.17999999999999
2021-07-16 00:00:00,5.72,81.0,35.17999999999999
2021-07-16 01:00:00,5.72,81.0,35.17999999999999
2021-07-16 02:00:00,5.72,81.0,35.17999999999999
2021-07-16 03:00:00,5.72,81.0,35.17999999999999
2021-07-16 04:00:00,5.72,81.0,35.17999999999999
2021-07-16 05:00:00,5.72,81.0,35.17999999999999
2021-07-16 06:00:00,5.72,81.0,35.17999999999999
2021-07-16 07:00:00,5.72,81.0,35.17999999999999
2021-07-16 08:00:00,5.72,81.0,35.17999999999999
2021-07-16 09:00:00,5.72,81.0,35.17999999999999
2021-07-16 10:00:00,5.72,81.0,35.17999999999999
2021-07-16 11:00:00,5.72,81.0,35.17999999999999
2021-07-16 12:00:00,5.72,81.0,35.17999999999999
2021-07-16 13:00:00,5.72,81.0,35.17999999999999
2021-07-16 14:00:00,5.72,81.0,35.17999999999999
2021-07-16 15:00:00,5.72,81.0,35.17999999999999
2021-07-16 16:00:00,5.72,81.0,35.17999999999999
2021-07-16 17:00:00,5.72,81.0,35.17999999999999
2021-07-16 18:00:00,5.72,81.0,35.17999999999999
2021-07-16 19:00:00,5.72,81.0,35.17999999999999
2021-07-16 20:00:00,5.72,81.0,35.17999999999999
2021-07-16 21:00:00,5.72,81.0,35.17999999999999
2021-07-16 22:00:00,5.72,81.0,35.17999999999999
2021-07-16 23:00:00,5.72,81.0,35.17999999999999
2021-07-17 00:00:00,5.72,81.0,35.17999999999999
2021-07-17 01:00:00,5.72,81.0,35.17999999999999
2021-07-17 02:00:00,5.72,81.0,35.17999999999999
2021-07-17 03:00:00,5.72,81.0,35.17999999999999
2021-07-17 04:00:00,5.72,81.0,35.17999999999999
2021-07-17 05:00:00,5.72,81.0,35.17999999999999
2021-07-17 06:00:00,5.72,81.0,35.17999999999999
2021-07-17 07:00:00,5.72,81.0,35.17999999999999
2021-07-17 08:00:00,5.72,81.0,35.17999999999999
2021-07-17 09:00:00,5.72,81.0,35.17999999999999
2021-07-17 10:00:00,5.72,81.0,35.17999999999999
2021-07-17 11:00:00,5.72,81.0,35.17999999999999
2021-07-17 12:00:00,5.72,81.0,35.17999999999999
2021-07-17 13:00:00,5.72,81.0,35.17999999999999
2021-07-17 14:00:00,5.72,81.0,35.17999999999999
2021-07-17 15:00:00,5.72,81.0,35.17999999999999
2021-07-17 16:00:00,5.72,81.0,35.17999999999999
2021-07-17 17:00:00,5.72,81.0,35.17999999999999
2021-07-17 18:00:00,5.72,81.0,35.17999999999999
2021-07-17 19:00:00,5.72,81.0,35.17999999999999
2021-07-17 20:00:00,5.72,81.0,35.17999999999999
2021-07-17 21:00:00,5.72,81.0,35.17999999999999
2021-07-17 22:00:00,5.72,81.0,35.17999999999999
2021-07-17 23:00:00,5.72,81.0,35.17999999999999
2021-07-18 00:00:00,5.72,81.0,35.17999999999999
2021-07-18 01:00:00,5.72,81.0,35.17999999999999
2021-07-18 02:00:00,5.72,81.0,35.17999999999999
2021-07-18 03:00:00,5.72,81.0,35.17999999999999
2021-07-18 04:00:00,5.72,81.0,35.17999999999999
2021-07-18 05:00:00,5.72,81.0,35.17999999999999
2021-07-18 06:00:00,5.72,81.0,35.17999999999999
2021-07-18 07:00:00,5.72,81.0,35.17999999999999
2021-07-18 08:00:00,5.72,81.0,35.17999999999999
2021-07-18 09:00:00,5.72,81.0,35.17999999999999
2021-07-18 10:00:00,5.72,81.0,35.17999999999999
2021-07-18 11:00:00,5.72,81.0,35.17999999999999
2021-07-18 12:00:00,5.72,81.0,35.17999999999999
2021-07-18 13:00:00,5.72,81.0,35.17999999999999
2021-07-18 14:00:00,5.72,81.0,35.17999999999999
2021-07-18 15:00:00,5.72,81.0,35.17999999999999
2021-07-18 16:00:00,5.72,81.0,35.17999999999999
2021-07-18 17:00:00,5.72,81.0,35.17999999999999
2021-07-18 18:00:00,5.72,81.0,35.17999999999999
2021-07-18 19:00:00,5.72,81.0,35.17999999999999
2021-07-18 20:00:00,5.72,81.0,35.17999999999999
2021-07-18 21:00:00,5.72,81.0,35.17999999999999
2021-07-18 22:00:00,5.72,81.0,35.17999999999999
2021-07-18 23:00:00,5.72,81.0,35.17999999999999
2021-07-19 00:00:00,5.72,81.0,35.17999999999999
2021-07-19 01:00:00,5.72,81.0,35.17999999999999
2021-07-19 02:00:00,5.72,81.0,35.17999999999999
2021-07-19 03:00:00,5.72,81.0,35.17999999999999
2021-07-19 04:00:00,5.72,81.0,35.17999999999999
2021-07-19 05:00:00,5.72,81.0,35.17999999999999
2021-07-19 06:00:00,5.72,81.0,35.17999999999999
2021-07-19 07:00:00,5.72,81.0,35.17999999999999
2021-07-19 08:00:00,5.72,81.0,35.17999999999999
2021-07-19 09:00:00,5.72,81.0,35.17999999999999
2021-07-19 10:00:00,5.72,81.0,35.17999999999999
2021-07-19 11:00:00,5.72,81.0,35.17999999999999
2021-07-19 12:00:00,5.72,81.0,35.17999999999999
2021-07-19 13:00:00,5.72,81.0,35.17999999999999
2021-07-19 14:00:00,5.72,81.0,35.17999999999999
2021-07-19 15:00:00,5.72,81.0,35.17999999999999
2021-07-19 16:00:00,5.72,81.0,35.17999999999999
2021-07-19 17:00:00,5.72,81.0,35.17999999999999
2021-07-19 18:00:00,5.72,81.0,35.17999999999999
2021-07-19 19:00:00,5.72,81.0,35.17999999999999
2021-07-19 20:00:00,5.72,81.0,35.17999999999999
2021-07-19 21:00:00,5.72,81.0,35.17999999999999
2021-07-19 22:00:00,5.72,81.0,35.17999999999999
2021-07-19 23:00:00,5.72,81.0,35.17999999999999
2021-07-20 00:00:00,5.72,81.0,35.17999999999999
2021-07-20 01:00:00,5.72,81.0,35.17999999999999
2021-07-20 02:00:00,5.72,81.0,35.17999999999999
2021-07-20 03:00:00,5.72,81.0,35.17999999999999
2021-07-20 04:00:00,5.72,81.0,35.17999999999999
2021-07-20 05:00:00,5.72,81.0,35.17999999999999
2021-07-20 06:00:00,5.72,81.0,35.17999999999999
2021-07-20 07:00:00,5.72,81.0,35.17999999999999
2021-07-20 08:00:00,5.72,81.0,35.17999999999999
2021-07-20 09:00:00,5.72,81.0,35.17999999999999
2021-07-20 10:00:00,5.72,81.0,35.17999999999999
2021-07-20 11:00:00,5.72,81.0,35.17999999999999
