timestamp,PM2.5,humidity,temperature
2021-11-04 07:00:00,14.1,100.0,23.1
2021-11-04 08:00:00,10.2,99.7,24.7
2021-11-04 09:00:00,13.2,95.3,26.4
2021-11-04 10:00:00,12.3,87.8,27.9
2021-11-04 11:00:00,11.8,82.1,28.9
2021-11-04 12:00:00,14.0,79.8,29.6
2021-11-04 13:00:00,10.7,76.3,30.4
2021-11-04 14:00:00,7.8,75.3,30.3
2021-11-04 15:00:00,5.5,73.8,30.5
2021-11-04 16:00:00,8.7,75.5,29.9
2021-11-04 17:00:00,7.1,79.9,29.3
2021-11-04 18:00:00,13.6,85.1,28.2
2021-11-04 19:00:00,14.8,89.8,27.4
2021-11-04 20:00:00,12.3,93.1,26.8
2021-11-04 21:00:00,11.6,96.1,26.3
2021-11-04 22:00:00,10.2,95.2,25.8
2021-11-04 23:00:00,8.7,97.6,25.2
2021-11-05 00:00:00,9.1,99.5,24.9
2021-11-05 01:00:00,11.9,100.0,24.7
2021-11-05 02:00:00,15.5,100.0,24.5
2021-11-05 03:00:00,13.9,100.0,24.4
2021-11-05 04:00:00,13.5,100.0,24.7
2021-11-05 05:00:00,12.2,100.0,24.6
2021-11-05 06:00:00,12.5,100.0,24.6
2021-11-05 07:00:00,15.4,100.0,24.6
2021-11-05 08:00:00,14.5,100.0,25.6
2021-11-05 09:00:00,14.2,98.0,26.7
2021-11-05 10:00:00,15.4,94.1,27.4
2021-11-05 11:00:00,13.3,88.1,28.6
2021-11-05 12:00:00,15.0,82.1,29.9
2021-11-05 13:00:00,10.2,78.5,30.4
2021-11-05 14:00:00,9.4,78.4,30.4
2021-11-05 15:00:00,10.6,77.5,30.6
2021-11-05 16:00:00,10.2,78.2,30.4
2021-11-05 17:00:00,14.4,81.8,29.6
2021-11-05 18:00:00,13.8,85.7,28.8
2021-11-05 19:00:00,11.2,88.6,28.1
2021-11-05 20:00:00,9.9,90.2,27.2
2021-11-05 21:00:00,9.1,91.1,26.6
2021-11-05 22:00:00,8.7,94.9,26.1
2021-11-05 23:00:00,7.3,99.4,25.6
2021-11-06 00:00:00,7.9,100.0,25.3
2021-11-06 01:00:00,9.8,100.0,25.0
2021-11-06 02:00:00,12.7,100.0,24.7
2021-11-06 03:00:00,12.3,100.0,24.7
2021-11-06 04:00:00,9.6,100.0,24.6
2021-11-06 05:00:00,16.8,100.0,24.5
2021-11-06 06:00:00,17.8,100.0,24.6
2021-11-06 07:00:00,11.7,100.0,24.8
2021-11-06 08:00:00,10.7,100.0,25.5
2021-11-06 09:00:00,13.0,100.0,26.3
2021-11-06 10:00:00,14.6,98.0,26.9
2021-11-06 11:00:00,13.0,94.0,27.7
2021-11-06 12:00:00,15.2,90.5,28.4
2021-11-06 13:00:00,15.7,88.3,29.2
2021-11-06 14:00:00,13.4,85.5,29.8
2021-11-06 15:00:00,12.9,85.5,29.7
2021-11-06 16:00:00,11.4,85.5,29.6
2021-11-06 17:00:00,11.1,87.9,29.0
2021-11-06 18:00:00,11.4,91.0,28.1
2021-11-06 19:00:00,7.7,93.0,27.6
2021-11-06 20:00:00,8.7,94.8,27.2
2021-11-06 21:00:00,7.6,98.6,26.5
2021-11-06 22:00:00,6.1,99.7,26.1
2021-11-06 23:00:00,7.2,100.0,25.8
