timestamp,PM2.5,humidity,temperature
2022-03-23 17:00:00,0.0,75.0,
2022-03-23 18:00:00,0.0,75.0,
2022-03-23 19:00:00,0.0,75.0,
2022-03-23 20:00:00,0.0,75.0,
2022-03-23 21:00:00,0.0,75.0,
2022-03-23 22:00:00,0.0,75.0,
2022-03-23 23:00:00,0.0,75.0,
2022-03-24 00:00:00,0.0,75.0,
2022-03-24 01:00:00,0.0,75.0,
2022-03-24 02:00:00,0.0,75.0,
2022-03-24 03:00:00,0.0,75.0,
2022-03-24 04:00:00,0.0,75.0,
2022-03-24 05:00:00,0.0,75.0,
2022-03-24 06:00:00,0.0,75.0,
2022-03-24 07:00:00,0.0,75.0,
2022-03-24 08:00:00,0.0,75.0,
2022-03-24 09:00:00,0.0,75.0,
2022-03-24 10:00:00,0.0,75.0,
2022-03-24 11:00:00,0.0,75.0,
2022-03-24 12:00:00,0.0,75.0,
2022-03-24 13:00:00,0.0,75.0,
2022-03-24 14:00:00,0.0,75.0,
2022-03-24 15:00:00,0.0,75.0,
2022-03-24 16:00:00,0.0,75.0,
2022-03-24 17:00:00,0.0,75.0,
2022-03-24 18:00:00,0.0,75.0,
2022-03-24 19:00:00,0.0,75.0,
2022-03-24 20:00:00,0.0,75.0,
2022-03-24 21:00:00,0.0,75.0,
2022-03-24 22:00:00,0.0,75.0,
2022-03-24 23:00:00,0.0,75.0,
2022-03-25 00:00:00,0.0,75.0,
2022-03-25 01:00:00,0.0,75.0,
2022-03-25 02:00:00,0.0,75.0,
2022-03-25 03:00:00,0.0,75.0,
2022-03-25 04:00:00,0.0,75.0,
2022-03-25 05:00:00,0.0,75.0,
2022-03-25 06:00:00,0.0,75.0,
2022-03-25 07:00:00,0.0,75.0,
2022-03-25 08:00:00,0.0,75.0,
2022-03-25 09:00:00,0.0,75.0,
2022-03-25 10:00:00,0.0,75.0,
2022-03-25 11:00:00,0.0,75.0,
